Event	Time	Queue	Clock
send 1	1678079346.57282	0	1
send 2	1678079347.073728	0	2
send 9	1678079347.5767329	0	3
send 10	1678079348.077593	0	4
send 2	1678079348.583049	0	5
send 10	1678079349.084099	0	6
send 3	1678079349.589758	0	7
send 7	1678079350.091543	0	8
send 10	1678079350.597126	0	9
send 4	1678079351.1013162	0	10
send 10	1678079351.605366	0	11
send 6	1678079352.107742	0	12
send 6	1678079352.612991	0	13
send 3	1678079353.1153011	0	14
send 8	1678079353.619334	0	15
send 5	1678079354.1223512	0	16
send 8	1678079354.623274	0	17
send 6	1678079355.125459	0	18
send 6	1678079355.631365	0	19
send 10	1678079356.1320791	0	20
send 1	1678079356.633458	0	21
send 10	1678079357.1375349	0	22
send 7	1678079357.6390688	0	23
send 9	1678079358.139926	0	24
send 4	1678079358.645607	0	25
send 5	1678079359.148277	0	26
receive	1678079359.649259	0	390
receive	1678079360.152313	0	391
send 4	1678079360.6579661	0	392
send 4	1678079361.1597471	0	393
send 10	1678079361.665365	0	394
send 6	1678079362.170968	0	395
send 5	1678079362.676592	0	396
send 4	1678079363.182305	0	397
receive	1678079363.683369	0	402
receive	1678079364.185149	0	404
send 7	1678079364.689997	0	405
receive	1678079365.193152	0	408
send 6	1678079365.697597	0	409
send 2	1678079366.20187	0	410
send 6	1678079366.702275	0	411
send 7	1678079367.2071218	0	412
send 5	1678079367.707828	0	413
send 5	1678079368.209313	0	414
receive	1678079368.710575	0	421
send 4	1678079369.2141068	0	422
send 9	1678079369.7197912	0	423
receive	1678079370.2220302	0	427
receive	1678079370.722702	0	428
send 1	1678079371.228179	0	429
send 4	1678079371.731491	0	430
send 7	1678079372.232147	0	431
send 7	1678079372.7364259	0	432
receive	1678079373.237804	0	438
send 7	1678079373.743447	0	439
send 5	1678079374.2478569	0	440
send 10	1678079374.749398	0	441
send 6	1678079375.250514	0	442
send 9	1678079375.751446	0	443
receive	1678079376.2523289	0	449
receive	1678079376.7563891	0	451
receive	1678079377.25691	1	452
receive	1678079377.757437	2	453
receive	1678079378.2605739	1	454
receive	1678079378.764255	0	455
send 3	1678079379.2698119	0	456
send 7	1678079379.773835	0	457
receive	1678079380.2763252	1	463
receive	1678079380.778125	0	464
receive	1678079381.279531	0	468
send 6	1678079381.780044	0	469
receive	1678079382.281586	0	471
send 10	1678079382.783419	0	472
send 3	1678079383.284668	0	473
send 6	1678079383.785482	0	474
send 7	1678079384.2883048	0	475
send 1	1678079384.789556	0	476
send 8	1678079385.290105	0	477
receive	1678079385.790688	0	481
receive	1678079386.292293	0	484
send 7	1678079386.7935622	0	485
send 1	1678079387.295934	0	486
send 1	1678079387.8008409	0	487
send 2	1678079388.305215	0	488
receive	1678079388.810025	0	493
receive	1678079389.310545	0	494
receive	1678079390.311431	0	498
receive	1678079390.812175	0	499
receive	1678079391.313173	0	501
receive	1678079392.3209898	0	506
send 5	1678079392.8243651	0	507
receive	1678079393.328237	0	508
send 8	1678079393.8290932	0	509
send 6	1678079394.329813	0	510
send 4	1678079394.832025	0	511
