Event	Time	Queue	Clock
send 4	1678079269.0419	0	1
send 9	1678079269.547164	0	2
send 10	1678079270.0478148	0	3
send 1	1678079270.5483909	0	4
send 10	1678079271.078342	0	5
send 9	1678079271.583766	0	6
send 2	1678079272.087019	0	7
send 4	1678079272.5874949	0	8
send 5	1678079273.092182	0	9
send 6	1678079273.59727	0	10
send 4	1678079274.098579	0	11
send 1	1678079274.6029701	0	12
send 7	1678079275.107063	0	13
send 9	1678079275.6077921	0	14
send 6	1678079276.109072	0	15
send 7	1678079276.6132731	0	16
send 6	1678079277.114039	0	17
send 5	1678079277.6162078	0	18
send 7	1678079278.120141	0	19
send 6	1678079278.623322	0	20
receive	1678079279.124079	0	97
send 4	1678079279.628864	0	98
send 7	1678079280.1305091	0	99
send 2	1678079280.631351	0	100
receive	1678079281.1321988	0	104
send 7	1678079281.6343832	0	105
send 2	1678079282.1356852	0	106
send 7	1678079282.6369421	0	107
send 5	1678079283.141576	0	108
receive	1678079283.642221	0	114
send 7	1678079284.147197	0	115
send 6	1678079284.647732	0	116
send 8	1678079285.153336	0	117
send 8	1678079285.654143	0	118
receive	1678079286.155244	1	124
receive	1678079286.6596322	0	125
send 4	1678079287.1604621	0	126
receive	1678079287.662924	0	130
send 5	1678079288.1651351	0	131
send 8	1678079288.668779	0	132
send 8	1678079289.1691399	0	133
send 1	1678079289.673184	0	134
receive	1678079290.1763	0	140
send 1	1678079290.6814878	0	141
receive	1678079291.1850612	0	143
send 6	1678079291.6855512	0	144
receive	1678079292.190031	0	146
receive	1678079292.6944928	0	149
send 7	1678079293.1971872	0	150
send 1	1678079293.698952	0	151
receive	1678079294.200832	0	154
send 8	1678079294.705765	0	155
send 8	1678079295.206793	0	156
send 9	1678079295.71201	0	157
send 10	1678079296.2150211	0	158
send 1	1678079296.716639	0	159
send 4	1678079297.2183528	0	160
send 3	1678079297.720619	0	161
receive	1678079298.22445	0	168
receive	1678079298.730043	0	170
receive	1678079299.23089	0	172
send 1	1678079299.731883	0	173
receive	1678079300.233676	0	175
send 7	1678079300.736139	0	176
send 5	1678079301.240465	0	177
receive	1678079301.7408981	0	180
send 6	1678079302.242662	0	181
send 7	1678079302.747175	0	182
send 6	1678079303.250012	0	183
send 9	1678079303.7553449	0	184
send 5	1678079304.257709	0	185
send 1	1678079304.7631779	0	186
receive	1678079305.263753	0	193
receive	1678079305.764768	0	195
receive	1678079306.2651231	0	196
receive	1678079306.767112	0	199
receive	1678079307.270632	0	201
receive	1678079307.775744	0	203
receive	1678079308.276474	0	205
receive	1678079308.7782001	1	206
receive	1678079309.2821782	0	207
send 5	1678079309.7830179	0	208
send 9	1678079310.286023	0	209
receive	1678079310.78777	1	214
receive	1678079311.288832	0	215
send 1	1678079311.793272	0	216
receive	1678079312.297246	0	220
receive	1678079312.7996428	0	221
send 10	1678079313.304241	0	222
send 3	1678079313.8054998	0	223
send 7	1678079314.310795	0	224
send 5	1678079314.813217	0	225
send 10	1678079315.316326	0	226
send 5	1678079315.820926	0	227
send 2	1678079316.323391	0	228
send 8	1678079316.825611	0	229
receive	1678079317.330981	0	238
send 1	1678079317.833688	0	239
send 4	1678079318.336407	0	240
receive	1678079318.837236	0	243
send 3	1678079319.340394	0	244
receive	1678079319.845006	0	247
send 8	1678079320.3471339	0	248
receive	1678079320.852436	0	251
send 2	1678079321.3569658	0	252
send 3	1678079321.862048	0	253
send 5	1678079322.3628402	0	254
receive	1678079322.8643389	0	258
