Event	Time	Queue	Clock
send 9	1678247320.5007439	0	1
receive	1678247321.5012789	0	7
receive	1678247322.505572	0	12
receive	1678247323.5060291	2	15
receive	1678247324.5065532	3	19
receive	1678247325.506967	4	22
receive	1678247326.50738	5	23
receive	1678247327.5128279	6	28
receive	1678247328.516022	7	29
receive	1678247329.516703	6	34
receive	1678247330.517055	5	35
receive	1678247331.517349	5	37
receive	1678247332.517758	4	43
receive	1678247333.5182168	7	44
receive	1678247334.5200288	7	47
receive	1678247335.5234969	8	49
receive	1678247336.5270889	7	68
receive	1678247337.530664	7	77
receive	1678247338.5311291	6	79
receive	1678247339.531631	5	80
receive	1678247340.5320141	5	81
receive	1678247341.535636	5	82
receive	1678247342.5360289	6	89
receive	1678247343.539985	8	91
receive	1678247344.540527	8	103
receive	1678247345.540947	9	121
receive	1678247346.5415318	9	127
receive	1678247347.542284	8	130
receive	1678247348.547509	8	132
receive	1678247349.550132	8	135
receive	1678247350.5509472	9	138
receive	1678247351.552887	11	139
receive	1678247352.553422	12	141
receive	1678247353.554713	14	147
receive	1678247354.5550761	13	151
receive	1678247355.555472	14	157
receive	1678247356.55586	15	164
receive	1678247357.557347	16	169
receive	1678247358.5591779	15	176
receive	1678247359.563841	15	178
receive	1678247360.567619	15	180
receive	1678247361.568002	16	183
receive	1678247362.568348	17	184
receive	1678247363.5733771	17	187
receive	1678247364.574213	19	190
receive	1678247365.5772521	20	193
receive	1678247366.5778391	19	195
receive	1678247367.58196	19	196
receive	1678247368.584706	19	206
receive	1678247369.590018	19	207
receive	1678247370.590554	21	211
receive	1678247371.590975	20	214
receive	1678247372.591394	20	217
receive	1678247373.592112	21	219
receive	1678247374.59693	21	229
receive	1678247375.600021	20	237
receive	1678247376.600457	22	239
receive	1678247377.600878	23	244
receive	1678247378.60231	22	246
receive	1678247379.607409	21	249
