Event	Time	Queue	Clock
receive	1678246917.6228511	0	1
send 10	1678246918.127607	0	2
send 9	1678246918.6311839	0	3
send 1	1678246919.136687	0	4
send 9	1678246919.6374772	0	5
receive	1678246920.141119	0	14
receive	1678246920.646216	0	17
receive	1678246921.149652	0	20
send 8	1678246921.650481	0	21
receive	1678246922.151704	0	27
receive	1678246922.6595469	0	28
send 5	1678246923.6655	0	29
send 10	1678246924.169902	0	30
receive	1678246925.676998	2	41
receive	1678246926.178831	2	44
receive	1678246926.67947	1	45
receive	1678246927.180363	1	49
receive	1678246927.681234	1	53
receive	1678246928.181912	1	58
receive	1678246928.68289	0	60
send 8	1678246929.183624	0	61
send 7	1678246929.684602	0	62
send 3	1678246930.185334	0	63
receive	1678246930.6859672	0	75
receive	1678246931.1864362	0	76
receive	1678246931.690956	0	77
send 4	1678246932.193252	0	78
receive	1678246932.6985579	0	80
send 8	1678246933.199372	0	81
receive	1678246933.7003	2	82
receive	1678246934.201162	1	90
receive	1678246934.703425	1	91
receive	1678246935.204397	1	95
receive	1678246935.705365	0	100
receive	1678246936.2063591	0	105
receive	1678246936.707708	0	107
receive	1678246937.208477	0	110
send 7	1678246937.7092202	0	111
receive	1678246938.209676	1	114
receive	1678246938.7100868	3	115
receive	1678246939.210884	3	116
receive	1678246940.713355	2	119
receive	1678246941.214056	2	125
receive	1678246942.219035	1	128
receive	1678246942.7230358	1	136
receive	1678246943.728001	0	137
receive	1678246944.228375	0	145
send 5	1678246944.7289422	0	146
receive	1678246945.229283	0	153
send 5	1678246945.734211	0	154
receive	1678246946.2355998	0	159
send 3	1678246946.739229	0	160
send 6	1678246947.2420118	0	161
send 10	1678246947.7424388	0	162
send 1	1678246948.243335	0	163
receive	1678246948.7441568	0	171
receive	1678246949.247728	1	173
receive	1678246949.7490392	1	174
receive	1678246950.24954	1	178
receive	1678246950.751035	1	179
receive	1678246951.251621	2	180
receive	1678246951.75307	2	184
receive	1678246952.253549	2	185
receive	1678246952.7543821	2	189
receive	1678246953.25791	1	190
receive	1678246953.7616751	1	191
receive	1678246954.262217	2	194
receive	1678246954.766378	2	200
receive	1678246955.268118	2	201
receive	1678246956.289414	4	205
receive	1678246956.790041	4	207
receive	1678246957.290571	4	209
receive	1678246957.791291	4	211
receive	1678246959.296003	2	216
receive	1678246960.298818	2	222
receive	1678246960.801482	2	230
receive	1678246961.3018181	2	232
receive	1678246961.805228	3	234
receive	1678246962.305918	3	239
receive	1678246962.807657	3	241
receive	1678246963.808429	3	242
receive	1678246964.309152	2	247
receive	1678246964.809744	2	249
receive	1678246965.3103878	1	252
receive	1678246965.811006	1	256
receive	1678246966.31182	0	262
receive	1678246966.812444	0	270
send 9	1678246967.3133838	0	271
receive	1678246967.814066	0	276
receive	1678246968.314728	0	278
send 8	1678246968.815413	0	279
receive	1678246969.3159628	0	284
send 7	1678246969.817452	0	285
send 10	1678246970.3182201	0	286
send 3	1678246970.818926	0	287
send 4	1678246971.320459	0	288
receive	1678246971.821153	1	296
receive	1678246972.3215911	1	297
receive	1678246972.8222668	0	300
send 7	1678246973.322813	0	301
send 9	1678246973.823286	0	302
send 5	1678246974.32369	0	303
send 2	1678246974.8245351	0	304
receive	1678246975.3253918	0	317
send 4	1678246975.826798	0	318
send 6	1678246976.330121	0	319
send 6	1678246976.83466	0	320
