Event	Time	Queue	Clock
receive	1678247320.001816	0	2
receive	1678247320.506387	0	3
receive	1678247321.006995	0	7
send 8	1678247321.5074172	0	8
receive	1678247322.00786	0	14
send 3	1678247322.50826	0	15
send 6	1678247323.011343	0	16
receive	1678247323.515446	0	22
receive	1678247324.0162811	0	23
receive	1678247324.520809	0	27
receive	1678247325.0238662	0	30
send 9	1678247325.5298	0	31
send 2	1678247326.032751	0	32
send 9	1678247326.536437	0	33
receive	1678247327.037239	0	41
receive	1678247327.539558	1	43
receive	1678247328.040004	2	44
receive	1678247328.5406258	2	47
receive	1678247329.0433018	1	48
receive	1678247329.54931	1	50
receive	1678247330.049899	0	57
send 4	1678247330.55176	0	58
receive	1678247331.053538	0	65
send 10	1678247331.557858	0	66
receive	1678247332.0610182	1	70
receive	1678247332.5653498	0	72
receive	1678247333.066476	0	78
receive	1678247333.5668669	2	79
receive	1678247334.0710132	2	80
receive	1678247334.575375	3	81
receive	1678247335.075944	3	84
receive	1678247335.577268	3	85
receive	1678247336.0783439	3	86
receive	1678247336.5824928	3	89
receive	1678247337.085071	2	91
receive	1678247337.585587	2	94
receive	1678247338.086041	1	98
receive	1678247338.586487	0	103
send 10	1678247339.0869389	0	104
receive	1678247339.5874271	0	115
send 5	1678247340.087926	0	116
receive	1678247340.590511	0	123
receive	1678247341.092014	0	124
send 2	1678247341.593199	0	125
send 6	1678247342.097452	0	126
receive	1678247342.600836	1	132
receive	1678247343.1038358	1	134
receive	1678247343.6046011	2	135
receive	1678247344.105271	2	138
receive	1678247344.605767	1	139
receive	1678247345.106257	2	140
receive	1678247345.6088982	2	147
receive	1678247346.1138802	1	148
receive	1678247346.616776	1	151
receive	1678247347.1173692	0	157
receive	1678247347.618058	0	161
send 2	1678247348.118575	0	162
send 2	1678247348.619055	0	163
receive	1678247349.12212	0	169
send 8	1678247349.622795	0	170
receive	1678247350.123534	0	176
receive	1678247350.624083	1	178
receive	1678247351.124866	0	179
receive	1678247351.6255832	1	184
receive	1678247352.1262238	0	185
send 4	1678247352.6268091	0	186
receive	1678247353.127232	1	193
receive	1678247353.6276228	1	194
receive	1678247354.128076	0	196
send 4	1678247354.628704	0	197
send 5	1678247355.129449	0	198
receive	1678247355.630771	1	207
receive	1678247356.131377	1	209
receive	1678247356.6389408	1	211
receive	1678247357.1395688	2	214
receive	1678247357.6401138	2	217
receive	1678247358.1408541	1	218
receive	1678247358.64509	0	219
receive	1678247359.147441	0	228
send 6	1678247359.6480541	0	229
receive	1678247360.1485682	0	236
receive	1678247360.649034	1	237
receive	1678247361.15309	0	238
send 2	1678247361.657558	0	239
receive	1678247362.158578	1	246
receive	1678247362.663788	1	247
receive	1678247363.1643221	2	249
receive	1678247363.666661	2	252
receive	1678247364.1675541	1	253
receive	1678247364.672317	0	254
send 6	1678247365.174603	0	255
receive	1678247365.677621	1	266
receive	1678247366.179512	1	267
receive	1678247366.684594	0	269
send 1	1678247367.1891332	0	270
receive	1678247367.693408	0	279
send 3	1678247368.1945002	0	280
send 8	1678247368.696447	0	281
send 1	1678247369.1972458	0	282
send 7	1678247369.697657	0	283
send 3	1678247370.198119	0	284
receive	1678247370.698658	0	294
receive	1678247371.1990058	0	296
receive	1678247371.699404	1	300
receive	1678247372.199764	1	301
receive	1678247372.702139	1	303
receive	1678247373.202441	2	306
receive	1678247373.702923	1	309
receive	1678247374.203594	1	310
receive	1678247374.704136	0	314
receive	1678247375.204791	0	321
receive	1678247375.707407	0	325
receive	1678247376.2078369	0	326
send 5	1678247376.708321	0	327
receive	1678247377.213803	0	332
send 2	1678247377.714632	0	333
send 4	1678247378.2168891	0	334
send 10	1678247378.717397	0	335
send 5	1678247379.2177868	0	336
