Event	Time	Queue	Clock
receive	1678247062.972609	0	1
send 8	1678247063.972932	0	2
receive	1678247064.9733682	0	10
send 8	1678247065.974012	0	11
receive	1678247066.9746492	0	16
send 6	1678247067.975225	0	17
receive	1678247068.979182	0	24
receive	1678247070.9802701	1	29
receive	1678247072.983573	0	32
send 2	1678247073.9843972	0	33
receive	1678247074.984983	0	46
receive	1678247075.985465	1	48
receive	1678247077.989797	1	56
receive	1678247078.990526	1	58
receive	1678247079.994876	0	60
receive	1678247080.995494	0	62
receive	1678247082.0005429	0	68
receive	1678247083.001271	0	69
receive	1678247084.002003	1	75
receive	1678247085.002939	1	78
receive	1678247086.0060139	2	81
receive	1678247087.006977	3	83
receive	1678247088.0090292	3	86
receive	1678247089.011005	4	87
receive	1678247091.011595	4	91
receive	1678247092.012117	4	95
receive	1678247093.012461	5	98
receive	1678247094.012948	6	99
receive	1678247095.0133052	6	100
receive	1678247096.0168908	7	107
receive	1678247097.0172539	8	108
receive	1678247098.01782	7	112
receive	1678247100.019731	8	118
receive	1678247101.020896	7	119
receive	1678247102.02365	7	120
receive	1678247103.0276191	8	122
receive	1678247105.029613	8	123
receive	1678247106.03054	7	133
receive	1678247107.031304	6	136
receive	1678247108.031739	5	137
receive	1678247109.0321012	6	143
receive	1678247110.032892	6	149
receive	1678247111.033452	5	150
receive	1678247112.0340328	5	151
receive	1678247113.0345159	5	158
receive	1678247114.035122	4	171
receive	1678247115.035661	4	172
receive	1678247116.036136	3	175
receive	1678247117.036535	2	179
receive	1678247118.037179	4	188
receive	1678247119.037913	4	189
receive	1678247120.039003	5	204
receive	1678247121.041832	6	205
