Event	Time	Queue	Clock
send 5	1678247502.6107771	0	1
receive	1678247502.811572	0	2
send 8	1678247503.014623	0	3
receive	1678247503.216259	0	4
send 7	1678247503.420154	0	5
send 1	1678247503.623314	0	6
send 9	1678247503.826613	0	7
send 6	1678247504.027005	0	8
receive	1678247504.227846	0	9
send 4	1678247504.432021	0	10
send 3	1678247504.634902	0	11
send 7	1678247504.83985	0	12
send 8	1678247505.0404139	0	13
send 9	1678247505.24265	0	14
send 4	1678247505.443151	0	15
send 2	1678247505.6474082	0	16
send 7	1678247505.8517911	0	17
send 4	1678247506.0541902	0	18
send 10	1678247506.258433	0	19
send 5	1678247506.46221	0	20
send 7	1678247506.6637409	0	21
send 7	1678247506.864428	0	22
send 9	1678247507.0683541	0	23
send 7	1678247507.2699652	0	24
send 3	1678247507.470762	0	25
send 1	1678247507.6763809	0	26
send 9	1678247508.082876	0	27
send 8	1678247508.287372	0	28
send 2	1678247508.490835	0	29
send 7	1678247508.691375	0	30
send 5	1678247508.894807	0	31
send 8	1678247509.098689	0	32
send 8	1678247509.300253	0	33
send 10	1678247509.7034822	0	34
send 8	1678247509.9085371	0	35
send 3	1678247510.112117	0	36
send 5	1678247510.316153	0	37
send 3	1678247510.7220612	0	38
send 4	1678247510.922517	0	39
receive	1678247511.326445	0	40
send 9	1678247511.529366	0	41
send 7	1678247511.730019	0	42
send 9	1678247511.932846	0	43
send 7	1678247512.138054	0	44
send 4	1678247512.340348	0	45
send 6	1678247512.54455	0	46
send 2	1678247512.744952	0	47
send 5	1678247512.94545	0	48
send 5	1678247513.148175	0	49
send 7	1678247513.348525	0	50
send 3	1678247513.551069	0	51
send 2	1678247513.755164	0	52
send 3	1678247513.958527	0	53
send 3	1678247514.15906	0	54
send 5	1678247514.359475	0	55
send 10	1678247514.559964	0	56
send 1	1678247514.762837	0	57
send 7	1678247514.965388	0	58
send 10	1678247515.168635	0	59
send 6	1678247515.371485	0	60
receive	1678247515.7765172	0	61
send 5	1678247515.9769988	0	62
receive	1678247516.1810188	0	63
send 4	1678247516.381631	0	64
send 1	1678247516.582058	0	65
send 7	1678247516.782495	0	66
send 10	1678247516.983166	0	67
receive	1678247517.1873379	0	68
send 8	1678247517.391912	0	69
send 2	1678247517.5967271	0	70
send 10	1678247517.803516	0	71
receive	1678247518.2086358	0	72
send 1	1678247518.4101539	0	73
send 10	1678247518.614445	0	74
send 2	1678247518.8155992	0	75
send 8	1678247519.0159519	0	76
send 9	1678247519.216344	0	77
send 4	1678247519.416801	0	78
send 4	1678247520.0287948	0	79
send 1	1678247520.229185	0	80
send 3	1678247520.4298491	0	81
send 10	1678247520.633781	0	82
send 10	1678247520.838872	0	83
send 5	1678247521.241239	0	84
send 5	1678247521.442035	0	85
send 4	1678247521.642451	0	86
send 2	1678247521.845527	0	87
send 1	1678247522.050729	0	88
send 8	1678247522.251509	0	89
send 10	1678247522.455308	0	90
send 3	1678247522.6585002	0	91
send 8	1678247522.858973	0	92
send 4	1678247523.062582	0	93
send 3	1678247523.266058	0	94
send 9	1678247523.466441	0	95
send 8	1678247523.670861	0	96
send 5	1678247524.079005	0	97
send 3	1678247524.282274	0	98
send 7	1678247524.4866428	0	99
send 3	1678247524.687608	0	100
send 2	1678247524.891814	0	101
send 6	1678247525.094856	0	102
send 5	1678247525.495903	0	103
send 1	1678247525.696542	0	104
send 6	1678247525.897036	0	105
send 8	1678247526.1011689	0	106
receive	1678247526.303859	0	107
send 6	1678247526.508374	0	108
send 8	1678247526.709942	0	109
send 9	1678247526.910242	0	110
send 6	1678247527.110891	0	111
send 7	1678247527.311424	0	112
send 3	1678247527.5121632	0	113
send 2	1678247527.7127821	0	114
send 6	1678247527.9164429	0	115
send 10	1678247528.12059	0	116
send 5	1678247528.3210292	0	117
send 1	1678247528.5245728	0	118
send 1	1678247528.726062	0	119
send 9	1678247528.928805	0	120
send 5	1678247529.129397	0	121
send 4	1678247529.530004	0	122
send 1	1678247529.7305229	0	123
send 1	1678247529.935472	0	124
receive	1678247530.1369019	0	125
receive	1678247530.338788	0	126
send 5	1678247530.543224	0	127
send 4	1678247530.7436879	0	128
send 4	1678247530.9440289	0	129
send 4	1678247531.144432	0	130
send 1	1678247531.3449411	0	131
send 6	1678247531.5454059	0	132
send 8	1678247531.746163	0	133
send 7	1678247531.9467719	0	134
send 4	1678247532.151145	0	135
send 7	1678247532.354361	0	136
send 7	1678247532.558901	0	137
send 10	1678247532.9624362	0	138
receive	1678247533.1652548	0	140
send 7	1678247533.3657322	0	141
send 5	1678247533.570891	0	142
send 10	1678247533.9750268	0	143
send 9	1678247534.376744	0	144
send 5	1678247534.5771751	0	145
send 7	1678247534.777608	0	146
send 6	1678247534.981573	0	147
send 8	1678247535.181988	0	148
send 4	1678247535.382543	0	149
receive	1678247535.582989	0	152
send 8	1678247535.7834141	0	153
receive	1678247535.985165	0	154
send 5	1678247536.187553	0	155
send 5	1678247536.391814	0	156
send 9	1678247536.592187	0	157
send 3	1678247536.796052	0	158
send 1	1678247536.996435	0	159
send 8	1678247537.399141	0	160
send 6	1678247537.603561	0	161
send 5	1678247537.808358	0	162
receive	1678247538.012015	0	163
send 5	1678247538.212488	0	164
send 3	1678247538.416945	0	165
