Event	Time	Queue	Clock
send 5	1678247062.22319	0	1
send 2	1678247062.724203	0	2
send 7	1678247062.974554	0	3
send 8	1678247063.224951	0	4
send 5	1678247063.4769769	0	5
send 8	1678247063.727493	0	6
send 4	1678247063.9781802	0	7
send 5	1678247064.2288609	0	8
send 10	1678247064.483795	0	9
send 1	1678247064.734694	0	10
send 4	1678247065.23826	0	11
send 9	1678247065.489816	0	12
send 7	1678247065.740484	0	13
send 5	1678247065.992694	0	14
send 9	1678247066.243415	0	15
send 1	1678247066.4948869	0	16
send 5	1678247066.74547	0	17
send 4	1678247066.9960341	0	18
send 6	1678247067.2466938	0	19
send 5	1678247067.74808	0	20
send 6	1678247067.9994519	0	21
send 10	1678247068.249973	0	22
send 9	1678247068.5026171	0	23
send 1	1678247068.755571	0	24
send 6	1678247069.007896	0	25
send 10	1678247069.262671	0	26
send 10	1678247069.763642	0	27
send 9	1678247070.0144682	0	28
send 1	1678247070.265224	0	29
send 5	1678247070.767682	0	30
send 10	1678247071.0222561	0	31
send 3	1678247071.276187	0	32
send 8	1678247071.526839	0	33
send 7	1678247071.7775302	0	34
send 9	1678247072.028339	0	35
send 10	1678247072.2831528	0	36
send 5	1678247072.533869	0	37
send 2	1678247072.784541	0	38
send 8	1678247073.035438	0	39
send 5	1678247073.290069	0	40
send 5	1678247073.5408099	0	41
send 2	1678247073.7926881	0	42
send 7	1678247074.043415	0	43
send 10	1678247074.293976	0	44
send 4	1678247074.544522	0	45
send 3	1678247074.79528	0	46
send 4	1678247075.049811	0	47
send 1	1678247075.3006248	0	48
send 8	1678247075.554067	0	49
send 7	1678247075.804736	0	50
send 9	1678247076.05535	0	51
send 8	1678247076.30589	0	52
send 8	1678247076.556441	0	53
send 4	1678247076.807083	0	54
send 6	1678247077.057767	0	55
send 3	1678247077.308604	0	56
send 5	1678247077.5606751	0	57
send 3	1678247077.811884	0	58
send 8	1678247078.065191	0	59
send 1	1678247078.3159199	0	60
send 9	1678247078.817047	0	61
send 5	1678247079.071458	0	62
send 4	1678247079.32233	0	63
send 7	1678247079.572913	0	64
send 7	1678247079.823951	0	65
send 8	1678247080.325971	0	66
send 7	1678247080.8275158	0	67
send 3	1678247081.331821	0	68
send 10	1678247081.582436	0	69
send 9	1678247081.83284	0	70
send 10	1678247082.083463	0	71
send 4	1678247082.334074	0	72
