Event	Time	Queue	Clock
receive	1678247425.3187451	0	3
receive	1678247426.319194	1	4
receive	1678247427.319654	2	7
receive	1678247428.3233438	1	9
receive	1678247429.32368	0	11
receive	1678247430.3240871	0	21
receive	1678247431.327492	0	27
send 7	1678247432.328099	0	28
send 9	1678247433.328595	0	29
receive	1678247434.329107	1	37
receive	1678247435.329508	0	38
send 5	1678247436.329924	0	39
receive	1678247437.330395	0	49
send 1	1678247438.333319	0	50
send 9	1678247439.3358238	0	51
send 6	1678247440.33836	0	52
send 5	1678247441.338937	0	53
send 5	1678247442.3395681	0	54
send 4	1678247443.340481	0	55
receive	1678247444.3432362	0	78
send 5	1678247445.3465211	0	79
receive	1678247446.3468642	1	84
receive	1678247447.3491762	0	87
receive	1678247448.3497221	0	94
receive	1678247449.3513112	1	98
receive	1678247450.356689	0	99
receive	1678247451.357806	0	107
send 5	1678247452.3582752	0	108
receive	1678247453.362466	0	115
receive	1678247454.3677309	1	116
receive	1678247455.371804	1	117
receive	1678247456.3751621	0	122
send 4	1678247457.375635	0	123
send 7	1678247458.376043	0	124
receive	1678247459.376433	1	137
receive	1678247460.376859	0	139
receive	1678247461.377337	0	144
receive	1678247462.377712	0	148
receive	1678247463.378329	0	152
receive	1678247464.378811	1	156
receive	1678247465.382036	1	157
receive	1678247466.382814	0	161
receive	1678247467.385561	2	168
receive	1678247468.385868	1	169
receive	1678247469.386303	0	171
receive	1678247470.3869069	2	181
receive	1678247471.391144	2	182
receive	1678247472.393002	1	183
receive	1678247473.396937	1	184
receive	1678247474.400061	2	192
receive	1678247475.4007921	1	196
receive	1678247476.4019752	1	199
receive	1678247477.405472	1	206
receive	1678247478.408809	0	211
receive	1678247479.410181	0	217
receive	1678247480.415332	0	221
send 8	1678247481.41571	0	222
receive	1678247482.41605	0	228
receive	1678247483.416497	0	234
