Event	Time	Queue	Clock
send 3	1678246917.454664	0	1
send 6	1678246917.793397	0	2
receive	1678246918.131788	0	4
send 6	1678246918.4706922	0	5
receive	1678246918.804832	0	7
send 10	1678246919.479747	0	8
receive	1678246919.81882	0	14
send 10	1678246920.157558	0	15
receive	1678246920.4938219	1	17
receive	1678246920.82784	1	18
receive	1678246921.166504	0	20
send 6	1678246921.5008798	0	21
send 2	1678246921.834948	0	22
send 9	1678246922.170691	0	23
send 7	1678246922.5078359	0	24
send 1	1678246922.8433821	0	25
send 5	1678246923.177432	0	26
send 2	1678246923.51364	0	27
send 5	1678246923.849643	0	28
send 3	1678246924.183576	0	29
send 1	1678246924.5195038	0	30
send 7	1678246924.854147	0	31
send 4	1678246925.188133	0	32
send 8	1678246925.522092	0	33
send 5	1678246925.860192	0	34
receive	1678246926.1966422	0	49
send 10	1678246926.5307362	0	50
receive	1678246926.864955	0	53
receive	1678246927.198932	0	55
send 5	1678246927.536455	0	56
receive	1678246927.87062	0	58
send 10	1678246928.204861	0	59
send 4	1678246928.543285	0	60
send 8	1678246928.87871	0	61
send 10	1678246929.215827	0	62
send 7	1678246929.55312	0	63
send 8	1678246929.887937	0	64
receive	1678246930.224535	1	73
receive	1678246930.901869	1	75
receive	1678246931.2357419	0	76
send 3	1678246931.56971	0	77
send 5	1678246931.903544	0	78
send 6	1678246932.2374668	0	79
send 3	1678246932.571647	0	80
send 4	1678246932.909229	0	81
send 1	1678246933.246645	0	82
send 6	1678246933.5808609	0	83
send 9	1678246933.914874	0	84
send 5	1678246934.2522628	0	85
send 8	1678246934.5910342	0	86
receive	1678246934.926977	0	97
receive	1678246935.262517	0	100
receive	1678246935.596467	0	101
receive	1678246935.932769	0	104
receive	1678246936.2714381	0	105
send 2	1678246936.605918	0	106
send 10	1678246936.940115	0	107
receive	1678246937.274128	0	110
receive	1678246937.609814	0	113
send 2	1678246937.9438982	0	114
send 3	1678246938.278073	0	115
send 1	1678246938.612166	0	116
send 2	1678246938.946302	0	117
send 5	1678246939.2803898	0	118
send 5	1678246939.6179452	0	119
receive	1678246939.954818	0	123
send 3	1678246940.289556	0	124
send 6	1678246940.628213	0	125
receive	1678246940.962208	0	128
receive	1678246941.299883	0	131
send 9	1678246941.637152	0	132
send 8	1678246941.975467	0	133
send 7	1678246942.309737	0	134
send 3	1678246942.6441019	0	135
send 10	1678246942.9781408	0	136
send 1	1678246943.313642	0	137
send 6	1678246943.6475708	0	138
receive	1678246943.985613	0	145
send 10	1678246944.3201869	0	146
receive	1678246944.658668	0	150
send 9	1678246944.996434	0	151
send 8	1678246945.330415	0	152
send 9	1678246945.664942	0	153
receive	1678246946.0007958	0	158
receive	1678246946.3370051	0	159
receive	1678246946.6723971	0	162
send 2	1678246947.342043	0	163
send 10	1678246947.676476	0	164
receive	1678246948.0102038	0	168
receive	1678246948.681395	1	171
receive	1678246949.015927	1	172
receive	1678246949.3498838	0	173
receive	1678246949.683882	0	178
receive	1678246950.021934	0	179
send 3	1678246950.359096	0	180
send 10	1678246950.6930618	0	181
receive	1678246951.027035	1	184
receive	1678246951.361575	0	185
receive	1678246951.6976068	0	189
send 5	1678246952.0347571	0	190
send 3	1678246952.368747	0	191
send 2	1678246952.702728	0	192
send 4	1678246953.036552	0	193
send 3	1678246953.3704681	0	194
send 9	1678246953.708868	0	195
receive	1678246954.043206	0	200
send 1	1678246954.37737	0	201
send 2	1678246954.7112389	0	202
receive	1678246955.048854	0	205
receive	1678246955.385066	0	207
receive	1678246955.721617	0	208
send 1	1678246956.058172	0	209
send 7	1678246956.3923619	0	210
send 1	1678246956.72827	0	211
send 9	1678246957.061984	0	212
send 3	1678246957.3958762	0	213
send 8	1678246957.733	0	214
send 5	1678246958.071251	0	215
receive	1678246958.40551	0	222
send 2	1678246958.7400131	0	223
send 2	1678246959.074851	0	224
send 8	1678246959.4085739	0	225
send 7	1678246959.7423081	0	226
receive	1678246960.079295	1	230
receive	1678246960.41311	0	231
receive	1678246960.747396	0	235
receive	1678246961.0846121	0	236
send 8	1678246961.418416	0	237
send 1	1678246961.753697	0	238
receive	1678246962.090959	0	242
receive	1678246962.4252212	0	245
receive	1678246962.759199	0	247
send 10	1678246963.093151	0	248
send 6	1678246963.427349	0	249
receive	1678246963.765483	0	252
receive	1678246964.099602	0	255
send 1	1678246964.433737	0	256
send 9	1678246964.770358	0	257
receive	1678246965.1043682	0	261
send 3	1678246965.438485	0	262
receive	1678246965.777269	0	264
send 9	1678246966.11117	0	265
send 7	1678246966.445181	0	266
send 9	1678246966.778975	0	267
send 7	1678246967.112942	0	268
receive	1678246967.4469051	0	273
receive	1678246967.781796	0	276
receive	1678246968.115516	1	277
receive	1678246968.449327	0	278
receive	1678246968.783274	0	282
receive	1678246969.117415	1	283
receive	1678246969.451435	0	284
send 2	1678246969.78562	0	285
receive	1678246970.1217659	0	289
send 7	1678246970.455884	0	290
receive	1678246970.7897978	1	292
receive	1678246971.124372	1	293
receive	1678246971.792007	0	296
receive	1678246972.1258318	1	299
receive	1678246972.4635499	0	300
send 7	1678246972.7976892	0	301
send 7	1678246973.131604	0	302
send 4	1678246973.469271	0	303
send 6	1678246973.804693	0	304
send 6	1678246974.1385002	0	305
send 9	1678246974.4724648	0	306
send 5	1678246974.8065238	0	307
receive	1678246975.140366	0	317
receive	1678246975.4789708	0	319
send 9	1678246975.816457	0	320
send 5	1678246976.153499	0	321
send 2	1678246976.4893131	0	322
receive	1678246976.8240829	0	326
send 10	1678246977.157929	0	327
