Event	Time	Queue	Clock
send 3	1678247062.473183	0	1
receive	1678247062.974347	0	2
send 7	1678247063.4748979	0	3
send 5	1678247063.978086	0	4
send 9	1678247064.482118	0	5
send 1	1678247064.984873	0	6
send 4	1678247065.485388	0	7
send 5	1678247065.988852	0	8
send 9	1678247066.489544	0	9
send 9	1678247066.99021	0	10
send 1	1678247067.490918	0	11
send 9	1678247067.9959161	0	12
send 6	1678247068.4963572	0	13
send 2	1678247068.9972632	0	14
send 1	1678247069.497858	0	15
send 5	1678247070.002402	0	16
send 3	1678247070.5031512	0	17
send 8	1678247071.003957	0	18
receive	1678247071.5047228	0	32
send 5	1678247072.005362	0	33
send 5	1678247072.508838	0	34
receive	1678247073.009863	0	38
send 8	1678247073.510499	0	39
receive	1678247074.01158	1	42
receive	1678247075.016423	0	46
send 2	1678247075.5207272	0	47
send 5	1678247076.021229	0	48
send 8	1678247076.521845	0	49
send 4	1678247077.027544	0	50
receive	1678247077.52813	0	56
receive	1678247078.030591	0	58
send 1	1678247078.531379	0	59
send 4	1678247079.035509	0	60
send 8	1678247079.5360498	0	61
send 3	1678247080.037201	0	62
send 1	1678247080.538527	0	63
send 1	1678247081.039042	0	64
receive	1678247081.539656	0	68
send 2	1678247082.040289	0	69
send 10	1678247082.5416682	0	70
send 9	1678247083.042367	0	71
receive	1678247083.5431411	0	75
receive	1678247084.043605	0	78
receive	1678247084.54443	0	79
send 6	1678247085.044917	0	80
send 10	1678247085.549054	0	81
send 5	1678247086.0497448	0	82
send 2	1678247086.554453	0	83
send 6	1678247087.05604	0	84
receive	1678247087.558445	0	91
receive	1678247088.058969	0	93
send 10	1678247088.563791	0	94
send 10	1678247089.0641012	0	95
receive	1678247089.564914	1	99
receive	1678247090.065252	0	100
send 5	1678247090.569205	0	101
receive	1678247091.069556	0	105
receive	1678247091.5706189	0	107
send 2	1678247092.071098	0	108
send 9	1678247092.571455	0	109
send 2	1678247093.07202	0	110
send 7	1678247093.572592	0	111
receive	1678247094.073086	0	118
send 3	1678247094.573548	0	119
send 3	1678247095.0740259	0	120
send 10	1678247095.574377	0	121
send 2	1678247096.077487	0	122
send 3	1678247096.578221	0	123
send 6	1678247097.07961	0	124
send 7	1678247097.583549	0	125
send 4	1678247098.0841951	0	126
receive	1678247098.585105	0	133
receive	1678247099.0854862	0	135
send 1	1678247099.5859358	0	136
send 5	1678247100.086532	0	137
send 8	1678247100.586996	0	138
send 6	1678247101.0875452	0	139
send 9	1678247101.5881011	0	140
receive	1678247102.090057	1	145
receive	1678247102.5905972	0	146
receive	1678247103.090963	1	149
receive	1678247103.5943198	1	150
receive	1678247104.098885	1	151
receive	1678247104.6031418	0	154
receive	1678247105.103709	0	158
send 9	1678247105.6059232	0	159
send 1	1678247106.1072278	0	160
send 7	1678247106.607786	0	161
send 9	1678247107.1083388	0	162
send 9	1678247107.609174	0	163
send 6	1678247108.109802	0	164
receive	1678247108.61049	0	170
send 7	1678247109.1111171	0	171
receive	1678247109.611721	0	175
send 4	1678247110.11605	0	176
send 5	1678247110.616501	0	177
send 8	1678247111.116983	0	178
send 2	1678247111.617588	0	179
receive	1678247112.118127	0	184
send 9	1678247112.618619	0	185
send 4	1678247113.119076	0	186
send 8	1678247113.621384	0	187
send 1	1678247114.122015	0	188
send 2	1678247114.6226938	0	189
send 9	1678247115.125243	0	190
receive	1678247115.6259992	0	198
send 6	1678247116.1266282	0	199
send 9	1678247116.628459	0	200
send 9	1678247117.129021	0	201
send 2	1678247117.6296809	0	202
send 2	1678247118.130309	0	203
send 1	1678247118.631042	0	204
send 1	1678247119.131746	0	205
send 2	1678247119.632374	0	206
receive	1678247120.133111	0	214
send 3	1678247120.633836	0	215
send 2	1678247121.134558	0	216
send 3	1678247121.6354072	0	217
