Event	Time	Queue	Clock
send 5	1678246917.2866912	0	1
send 8	1678246917.6276422	0	2
send 9	1678246917.798229	0	3
send 1	1678246917.96995	0	4
send 4	1678246918.138072	0	5
send 4	1678246918.305714	0	6
send 1	1678246918.476643	0	7
send 4	1678246918.6442099	0	8
send 5	1678246918.8165052	0	9
send 4	1678246918.986059	0	10
send 7	1678246919.157831	0	11
send 8	1678246919.3289468	0	12
send 8	1678246919.500407	0	13
send 3	1678246919.672734	0	14
send 7	1678246919.8433542	0	15
send 10	1678246920.011978	0	16
send 3	1678246920.179743	0	17
send 1	1678246920.3497431	0	18
send 4	1678246920.518563	0	19
send 3	1678246920.6859798	0	20
send 6	1678246920.855979	0	21
send 4	1678246921.023503	0	22
send 10	1678246921.1933188	0	23
send 6	1678246921.36563	0	24
send 7	1678246921.536862	0	25
send 6	1678246921.70784	0	26
send 2	1678246922.043554	0	27
send 2	1678246922.2145112	0	28
send 6	1678246922.382355	0	29
send 7	1678246922.5506299	0	30
send 7	1678246922.7179031	0	31
send 6	1678246922.885095	0	32
send 4	1678246923.0574431	0	33
send 7	1678246923.226511	0	34
send 8	1678246923.395475	0	35
send 8	1678246923.732996	0	36
send 9	1678246923.9020648	0	37
send 4	1678246924.071724	0	38
send 9	1678246924.411385	0	39
send 10	1678246924.5819972	0	40
send 2	1678246924.7495239	0	41
send 9	1678246924.917278	0	42
send 9	1678246925.087323	0	43
send 2	1678246925.2549062	0	44
send 2	1678246925.422495	0	45
send 5	1678246925.59326	0	46
send 4	1678246925.7612019	0	47
send 5	1678246925.9297001	0	48
send 3	1678246926.102242	0	49
send 10	1678246926.270018	0	50
send 4	1678246926.4375958	0	51
send 5	1678246926.608106	0	52
send 3	1678246926.7789671	0	53
send 10	1678246926.9464908	0	54
send 1	1678246927.114225	0	55
send 5	1678246927.281514	0	56
send 6	1678246927.4492931	0	57
send 3	1678246927.6168041	0	58
send 9	1678246927.786047	0	59
send 2	1678246927.955015	0	60
send 5	1678246928.122422	0	61
send 9	1678246928.2932758	0	62
send 8	1678246928.462214	0	63
send 8	1678246928.6299179	0	64
send 8	1678246928.79812	0	65
send 4	1678246928.967925	0	66
send 7	1678246929.136523	0	67
send 5	1678246929.303941	0	68
send 7	1678246929.471345	0	69
send 9	1678246929.6432781	0	70
send 6	1678246929.813838	0	71
send 10	1678246929.9812548	0	72
send 1	1678246930.151679	0	73
send 6	1678246930.486315	0	74
send 3	1678246930.653722	0	75
send 3	1678246930.8208928	0	76
send 9	1678246930.990965	0	77
send 6	1678246931.158227	0	78
send 5	1678246931.32572	0	79
send 6	1678246931.4933062	0	80
send 9	1678246931.833204	0	81
send 10	1678246932.0004869	0	82
send 6	1678246932.167935	0	83
send 4	1678246932.335294	0	84
send 10	1678246932.502763	0	85
send 6	1678246932.837332	0	86
send 4	1678246933.0073888	0	87
send 8	1678246933.179054	0	88
send 4	1678246933.346699	0	89
