Event	Time	Queue	Clock
send 8	1678077155.782686	0	1
send 5	1678077156.038025	0	2
send 2	1678077156.288894	1	3
send 6	1678077156.543724	0	4
send 5	1678077156.7942479	0	5
send 3	1678077157.045342	4	6
receive	1678077157.804543	0	7
receive	1678077158.305869	0	9
send 4	1678077158.556242	0	10
send 6	1678077158.806698	0	11
send 1	1678077159.0577862	1	12
send 1	1678077159.3081632	1	13
send 3	1678077160.067884	4	14
receive	1678077160.827232	0	15
send 7	1678077161.0817301	0	16
receive	1678077161.3321338	0	17
send 6	1678077161.5839202	0	18
send 1	1678077161.837228	1	19
send 9	1678077162.087575	0	20
receive	1678077162.341651	0	21
receive	1678077162.592654	4	22
send 7	1678077163.1005309	0	23
send 3	1678077163.35107	4	24
receive	1678077164.107168	5	25
send 9	1678077164.86363	0	26
receive	1678077165.873877	5	29
receive	1678077166.634343	0	30
send 2	1678077166.888457	1	31
send 5	1678077167.1390789	0	32
send 10	1678077167.389625	0	33
send 3	1678077167.640629	4	34
send 8	1678077168.39716	0	35
send 1	1678077168.648084	1	36
send 3	1678077168.902238	4	37
send 1	1678077169.6613498	1	38
send 5	1678077169.9144351	0	39
send 9	1678077170.168149	0	40
send 2	1678077170.4193878	1	41
send 5	1678077170.671776	0	42
send 1	1678077171.430131	1	43
send 9	1678077171.68284	0	44
send 9	1678077171.933456	0	45
send 3	1678077172.185904	4	46
send 1	1678077172.945913	1	47
send 10	1678077173.1986501	0	48
send 8	1678077173.454358	0	49
send 6	1678077173.710017	0	50
send 2	1678077173.9607098	1	51
receive	1678077174.215659	0	52
receive	1678077174.466936	5	53
receive	1678077175.221602	3	54
receive	1678077175.7299998	0	55
send 3	1678077176.4818401	4	56
send 7	1678077177.23927	0	57
send 9	1678077177.490527	0	58
send 3	1678077177.741751	4	59
send 8	1678077178.4991622	0	60
send 2	1678077178.750154	1	61
send 1	1678077179.0024478	1	62
send 1	1678077179.256665	1	63
send 6	1678077179.509514	0	64
send 6	1678077179.761062	0	65
send 5	1678077180.012358	0	66
send 10	1678077180.265772	0	67
send 8	1678077180.516599	0	68
receive	1678077180.7673721	0	69
send 1	1678077181.022515	0	70
send 1	1678077181.782332	0	71
send 6	1678077182.0367842	0	72
send 6	1678077182.795815	0	73
send 9	1678077183.047177	0	74
send 9	1678077183.801544	0	75
send 9	1678077184.053239	0	76
send 5	1678077184.308876	0	77
receive	1678077184.562987	5	79
receive	1678077185.321239	3	80
send 1	1678077185.832439	1	81
send 7	1678077186.087307	0	82
send 7	1678077186.346897	0	83
send 10	1678077186.599776	0	84
send 8	1678077186.85149	0	85
send 3	1678077187.102986	4	86
receive	1678077187.857841	5	87
send 9	1678077188.6188831	0	88
send 7	1678077189.3801029	0	89
send 10	1678077189.63259	0	90
send 8	1678077189.8834271	0	91
send 7	1678077190.1341472	0	92
send 6	1678077190.388463	0	93
send 3	1678077190.643907	4	94
receive	1678077191.405531	0	95
send 8	1678077191.656377	0	96
send 3	1678077191.907947	4	97
send 4	1678077192.662946	0	98
send 9	1678077193.417875	0	99
send 2	1678077193.6698802	1	100
receive	1678077193.9204302	5	102
receive	1678077194.6784499	5	104
send 5	1678077195.439285	0	105
send 2	1678077195.6904871	1	106
send 5	1678077195.941879	0	107
send 2	1678077196.19427	0	108
receive	1678077196.444788	0	110
send 3	1678077196.695263	4	111
send 7	1678077197.4532459	0	112
send 3	1678077197.7060962	4	113
receive	1678077198.4586082	0	116
receive	1678077198.7090938	4	117
send 5	1678077199.213162	0	118
send 3	1678077199.466736	4	119
receive	1678077200.227187	5	120
send 7	1678077200.7328708	0	121
send 9	1678077200.983809	0	122
receive	1678077201.488905	0	123
receive	1678077201.746013	5	125
receive	1678077202.502882	4	126
receive	1678077203.011103	0	127
send 8	1678077203.2620292	0	128
send 8	1678077203.517123	0	129
send 9	1678077203.7713768	0	130
send 1	1678077204.0223649	1	131
send 8	1678077204.2731578	0	132
send 8	1678077205.031169	0	133
receive	1678077205.282669	5	134
send 5	1678077205.7885408	0	135
send 9	1678077206.038903	0	136
send 8	1678077206.2896059	0	137
send 5	1678077206.543493	0	138
send 2	1678077206.7976131	0	139
send 1	1678077207.0533419	1	140
send 5	1678077207.3078778	0	141
send 5	1678077207.56067	0	142
receive	1678077207.8129752	5	143
receive	1678077208.564831	0	144
send 5	1678077208.821285	0	145
receive	1678077209.078142	0	147
receive	1678077209.332843	4	148
send 9	1678077209.838722	0	149
send 6	1678077210.089227	0	150
send 3	1678077210.3397388	4	151
send 4	1678077211.092983	0	152
send 1	1678077211.346604	1	153
send 7	1678077211.599458	0	154
send 4	1678077211.850754	0	155
send 9	1678077212.101954	0	156
send 3	1678077212.353337	4	157
send 9	1678077213.105251	0	158
send 8	1678077213.355743	0	159
receive	1678077213.60717	0	160
send 7	1678077213.858138	0	161
send 7	1678077214.109962	0	162
send 9	1678077215.116249	0	163
send 9	1678077215.623253	0	164
